model,feature_set,detector,snr_db,channel,Pd,Pfa_achieved,threshold
RF,FS3_corr,RF_FS3_corr,-15,rayleigh,0.5333333333333333,0.1,0.3038824076258744
RF,FS3_corr,RF_FS3_corr,-15,rician,0.36666666666666664,0.1,0.3625168898208315
RF,FS3_corr,RF_FS3_corr,-10,awgn,0.9666666666666667,0.1,0.33860807971524454
RF,FS3_corr,RF_FS3_corr,-10,rayleigh,0.7666666666666667,0.1,0.35763094320118155
RF,FS3_corr,RF_FS3_corr,-10,rician,0.8333333333333334,0.1,0.31041452197616726
RF,FS3_corr,RF_FS3_corr,-5,awgn,1.0,0.1,0.37109552999129913
RF,FS3_corr,RF_FS3_corr,-5,rayleigh,0.9,0.1,0.37188804445548496
RF,FS3_corr,RF_FS3_corr,-5,rician,1.0,0.1,0.4297994808321642
RF,FS3_corr,RF_FS3_corr,0,awgn,1.0,0.1,0.33658608032129683
RF,FS3_corr,RF_FS3_corr,0,rayleigh,1.0,0.1,0.3042533782124499
RF,FS3_corr,RF_FS3_corr,0,rician,1.0,0.1,0.3453209442980335
RF,FS3_corr,RF_FS3_corr,5,awgn,1.0,0.1,0.2774482702070427
RF,FS3_corr,RF_FS3_corr,5,rayleigh,1.0,0.1,0.2594256616306521
RF,FS3_corr,RF_FS3_corr,5,rician,1.0,0.1,0.3150594220108413
RF,FS3_corr,RF_FS3_corr,10,awgn,1.0,0.1,0.2789299445286262
RF,FS3_corr,RF_FS3_corr,10,rayleigh,1.0,0.1,0.2895610821456187
RF,FS3_corr,RF_FS3_corr,10,rician,1.0,0.1,0.35913495390216355
MLP,FS3_corr,MLP_FS3_corr,-20,awgn,0.13333333333333333,0.1,0.41593635565427217
MLP,FS3_corr,MLP_FS3_corr,-20,rayleigh,0.23333333333333334,0.1,0.3721197243675965
MLP,FS3_corr,MLP_FS3_corr,-20,rician,0.23333333333333334,0.1,0.3916647395860038
MLP,FS3_corr,MLP_FS3_corr,-15,awgn,0.43333333333333335,0.1,0.41684611038441716
MLP,FS3_corr,MLP_FS3_corr,-15,rayleigh,0.4666666666666667,0.1,0.40146258732168993
MLP,FS3_corr,MLP_FS3_corr,-15,rician,0.36666666666666664,0.1,0.4193132374592727
MLP,FS3_corr,MLP_FS3_corr,-10,awgn,1.0,0.1,0.3912778180193044
MLP,FS3_corr,MLP_FS3_corr,-10,rayleigh,0.8,0.1,0.38750605109605235
MLP,FS3_corr,MLP_FS3_corr,-10,rician,0.7666666666666667,0.1,0.43540507447836113
MLP,FS3_corr,MLP_FS3_corr,-5,awgn,1.0,0.1,0.45248309844114604
MLP,FS3_corr,MLP_FS3_corr,-5,rayleigh,0.9333333333333333,0.1,0.4221950475296748
MLP,FS3_corr,MLP_FS3_corr,-5,rician,1.0,0.1,0.4364981567498817
